id,canonicalSmiles,inchiKey,drugType,blackBoxWarning,name,yearOfFirstApproval,maximumClinicalTrialPhase,parentId,hasBeenWithdrawn,isApproved,tradeNames,synonyms,crossReferences,childChemblIds,linkedDiseases,linkedTargets,description
CHEMBL1195,CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC,CAJIGINSTLKQMM-UHFFFAOYSA-N,Small molecule,False,PROPOXYCAINE,1982.0,4.0,,False,True,[],['Propoxycaine'],"[('PubChem', array(['11112410'], dtype=object)), ('Wikipedia', array(['Propoxycaine'], dtype=object)), ('drugbank', array(['DB09342'], dtype=object)), ('chEBI', array(['8496'], dtype=object))]",['CHEMBL1769'],,"[ENSG00000144285,ENSG00000183873,ENSG00000007314,ENSG00000136546,ENSG00000136531,ENSG00000169432,ENSG00000153253,ENSG00000168356,ENSG00000196876,ENSG00000185313]",Small molecule drug with a maximum clinical trial phase of IV that was first approved in 1982.
CHEMBL1231,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,XIQVNETUBQGFHX-UHFFFAOYSA-N,Small molecule,False,OXYBUTYNIN,1975.0,4.0,,False,True,"['Anturol' 'Contimin 2.5' 'Contimin 5' 'Cystrin' 'Ditropan' 'Ditropan xl'
 'Kentera' 'Kentera (previously oxybutynin nicobrand)' 'Lyrinel xl'
 'Oxybutynin' 'Oxytrol' 'Oxytrol for women' 'Promictuline' 'Urimin']",['Ditropan' 'Oxybutynin'],"[('DailyMed', array(['oxybutynin'], dtype=object)), ('EMA', array(['https://www.ema.europa.eu/en/medicines/human/EPAR/kentera-previously-oxybutynin-nicobrand'],
      dtype=object)), ('PubChem', array(['174006905', '50105262', '90341037'], dtype=object)), ('Wikipedia', array(['Oxybutynin'], dtype=object)), ('drugbank', array(['DB01062'], dtype=object)), ('chEBI', array(['7856'], dtype=object))]",['CHEMBL1133'],"{'rows': array(['EFO_0006865', 'EFO_1000781', 'HP_0000103', 'MONDO_0024290',
       'EFO_0006865', 'EFO_0003956', 'EFO_0003918', 'HP_0000975',
       'EFO_0000512', 'HP_0002307', 'EFO_0009562', 'HP_0000020',
       'EFO_0001663', 'HP_0000011', 'HP_0000020', 'EFO_1000781',
       'EFO_0003877'], dtype=object), 'count': 17}","[ENSG00000133019,ENSG00000181072]",Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1975 and has 4 approved and 11 investigational indications.
CHEMBL1637,Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,OKKDEIYWILRZIA-OSZBKLCCSA-N,Small molecule,False,GEMCITABINE HYDROCHLORIDE,1996.0,4.0,CHEMBL888,False,True,['Gemcitabine hydrochloride' 'Gemzar' 'Infugem'],"['Gemcitabine (as hydrochloride)' 'Gemcitabine hcl'
 'Gemcitabine hydrochloride' 'Gemzar' 'LY-188011'
 'LY-188011 HYDROCHLORIDE' 'LY188011 HYDROCHLORIDE']","[('DailyMed', array(['gemcitabine%20hydrochloride'], dtype=object)), ('PubChem', array(['144206197', '170465129'], dtype=object)), ('chEBI', array(['31647'], dtype=object))]",,"{'rows': array(['MONDO_0008170', 'MONDO_0008627', 'EFO_0006859', 'EFO_0000183',
       'Orphanet_145', 'EFO_0000574', 'EFO_0006475', 'EFO_0000681',
       'EFO_1000613', 'MONDO_0005184', 'EFO_0008528', 'EFO_0000616',
       'EFO_1000359', 'EFO_1000043', 'EFO_0000313', 'EFO_0001075',
       'EFO_0000096', 'EFO_0000565', 'MONDO_0011962', 'EFO_0000691',
       'MONDO_0002087', 'EFO_1000251', 'EFO_1001961', 'EFO_0007532',
       'MONDO_0004192', 'MONDO_0016537', 'EFO_0006861', 'EFO_0006738',
       'EFO_0000588', 'MONDO_0002158', 'MONDO_0015760', 'MONDO_0001056',
       'EFO_0000305', 'MONDO_0005411', 'EFO_0005537', 'MONDO_0004986',
       'EFO_1001951', 'MONDO_0007254', 'MONDO_0002974', 'MONDO_0002367',
       'MONDO_0004992', 'EFO_0001416', 'HP_0001907', 'EFO_0000466',
       'EFO_0004252', 'EFO_1001469', 'EFO_1001051', 'EFO_1001959',
       'MONDO_0008315', 'EFO_0001378', 'EFO_0003060', 'MONDO_0008903',
       'MONDO_0001187', 'EFO_0002618', 'MONDO_0002691'], dtype=object), 'count': 55}","[ENSG00000101868,ENSG00000175482,ENSG00000077514,ENSG00000062822,ENSG00000106628,ENSG00000177084,ENSG00000014138,ENSG00000198056,ENSG00000146143,ENSG00000100479,ENSG00000148229,ENSG00000167325,ENSG00000048392,ENSG00000171848]",Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1996 and has 7 approved and 48 investigational indications.
CHEMBL1743017,,,Antibody,False,FEZAKINUMAB,,2.0,,False,False,[],['Fezakinumab' 'ILV-094'],,,"{'rows': array(['EFO_0000676', 'EFO_0000274', 'EFO_0000685'], dtype=object), 'count': 3}",[ENSG00000127318],Antibody drug with a maximum clinical trial phase of II (across all indications) and has 3 investigational indications.
CHEMBL2104927,CN(CCc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C(=O)[C@H](c1ccccc1)N1CCN(CC2CC2)CC1,HUTHJVYJUPXHDF-DEOSSOPVSA-N,Small molecule,False,FIGOPITANT,,2.0,,False,False,[],"['BIIF 1149 BS' 'BIIF 1149 CL' 'BIIF-1149 BS' 'BIIF-1149-BS' 'Biif 1149'
 'Figopitant']","[('drugbank', array(['DB12122'], dtype=object))]",['CHEMBL3542235'],,[ENSG00000115353],Small molecule drug with a maximum clinical trial phase of II.
CHEMBL2105675,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C(O)c1ccc2nc(-c3cc(Cl)cc(Cl)c3)oc2c1,DQJDBUPLRMRBAB-WZTVWXICSA-N,Small molecule,False,TAFAMIDIS MEGLUMINE,2011.0,4.0,CHEMBL2103837,False,True,['Vyndaqel'],['FX-1006A' 'Tafamidis meglumine'],"[('DailyMed', array(['tafamidis%20meglumine'], dtype=object)), ('EMA', array(['https://www.ema.europa.eu/en/medicines/human/EPAR/vyndaqel'],
      dtype=object)), ('chEBI', array(['79345'], dtype=object))]",,"{'rows': array(['EFO_1001875', 'EFO_0009562', 'EFO_0000318', 'MONDO_0019438',
       'EFO_0004129'], dtype=object), 'count': 5}",[ENSG00000118271],Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2011 and has 3 approved and 2 investigational indications.
CHEMBL2107826,O=C(Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1)[C@@H]1CCc2nccc(=O)n21,DJXRIQMCROIRCZ-XOEOCAAJSA-N,Small molecule,False,VIBEGRON,2018.0,4.0,,False,True,['Gemtesa'],['KRP-114V' 'Mk4618' 'Vibegron'],"[('drugbank', array(['DB14895'], dtype=object))]",,"{'rows': array(['EFO_0006865', 'HP_0000020', 'EFO_0000555', 'EFO_0000537',
       'EFO_1000781'], dtype=object), 'count': 5}",[ENSG00000188778],Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2018 and has 3 approved and 2 investigational indications.
CHEMBL2109177,,,Antibody,False,ODULIMOMAB,,3.0,,False,False,[],['Afolimomab' 'Odulimomab' 'anti-LFA1'],,,,[ENSG00000005844],Antibody drug with a maximum clinical trial phase of III.
CHEMBL2346976,CC(=O)N1CCN(CCOc2ccc(C3CCN(C4=Nn5c(nnc5C(F)(F)F)CC4)CC3)cc2)CC1,JMEYDSHPKCSIJC-UHFFFAOYSA-N,Small molecule,False,AZD3514,,1.0,,False,False,[],['AZD-3514' 'Azd 3514' 'Azd3514' 'CS-1443'],,,"{'rows': array(['MONDO_0008315'], dtype=object), 'count': 1}",[ENSG00000169083],Small molecule drug with a maximum clinical trial phase of I and has 1 investigational indication.
CHEMBL3545096,COc1ccc(-c2ccc3ncc4c(c3c2)n(-c2ccc(N3CCNCC3)c(C(F)(F)F)c2)c(=O)n4C)cn1.O=C(O)/C=C\C(=O)O,YUXMAKUNSXIEKN-BTJKTKAUSA-N,Small molecule,False,BGT-226,,2.0,CHEMBL3218578,False,False,[],['BGT226' 'Bgt-226' 'NVP-BGT-226' 'NVP-BGT226'],"[('chEBI', array(['71953'], dtype=object))]",,"{'rows': array(['MONDO_0016063', 'MONDO_0004992', 'MONDO_0007254'], dtype=object), 'count': 3}","[ENSG00000198793,ENSG00000145675,ENSG00000051382,ENSG00000105851,ENSG00000121879,ENSG00000105647,ENSG00000171608,ENSG00000141506,ENSG00000117461]",Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 3 investigational indications.
CHEMBL3545103,,,Small molecule,False,AZD3199,,2.0,,False,False,[],['Azd3199'],,,"{'rows': array(['HP_0006536', 'EFO_0000341', 'MONDO_0004979'], dtype=object), 'count': 3}",[ENSG00000169252],Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 3 investigational indications.
CHEMBL3545145,,,Small molecule,False,WX-554,,1.0,,False,False,[],['Wx-554'],,,"{'rows': array(['EFO_0000616'], dtype=object), 'count': 1}","[ENSG00000169032,ENSG00000126934]",Small molecule drug with a maximum clinical trial phase of I and has 1 investigational indication.
CHEMBL3545238,,,Small molecule,False,CS-8080,,1.0,,False,False,[],['Cs-8080'],,,,"[ENSG00000025434,ENSG00000131408]",Small molecule drug with a maximum clinical trial phase of I.
CHEMBL3545340,CNC(=O)COc1cccc(Nc2ncc(F)c(Nc3ccc4c(c3)NC(=O)C(F)(F)O4)n2)c1.O=C(O)c1ccc2ccccc2c1O,ILIHENOWEIBEQV-UHFFFAOYSA-N,Small molecule,False,R-343,,2.0,CHEMBL2170582,False,False,[],['R-343' 'R-940343' 'R940343'],,,,[ENSG00000165025],Small molecule drug with a maximum clinical trial phase of II.
CHEMBL363648,CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1,HEKAIDKUDLCBRU-UHFFFAOYSA-N,Small molecule,False,TAK-715,,2.0,,False,False,[],['TAK 715' 'TAK-715' 'Tak-715'],"[('PubChem', array(['103905024', '174006984'], dtype=object))]",,"{'rows': array(['EFO_0000685'], dtype=object), 'count': 1}",[ENSG00000112062],Small molecule drug with a maximum clinical trial phase of II and has 1 investigational indication.
CHEMBL3707249,,,Small molecule,False,ASM-024,,2.0,,False,False,[],['Asm-024'],,,"{'rows': array(['MONDO_0004979', 'EFO_0000341'], dtype=object), 'count': 2}","[ENSG00000175344,ENSG00000181072,ENSG00000168539,ENSG00000133019,ENSG00000117971,ENSG00000080644]",Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 2 investigational indications.
CHEMBL3910075,COc1ccc(C(=O)c2cn(C(C)C)c3ncnc(N)c23)cc1NC(=O)Nc1ccc(Cl)cc1Cl,VFCRSIORGUNNGT-UHFFFAOYSA-N,Small molecule,False,CE-245677,,1.0,,False,False,[],['Ce 245677' 'Ce-245677'],,,,[ENSG00000120156],Small molecule drug with a maximum clinical trial phase of I.
CHEMBL3989990,,,Antibody,False,ISTIRATUMAB,,2.0,,False,False,[],['Istiratumab' 'MM-005' 'MM-141'],,,"{'rows': array(['EFO_0000182', 'EFO_0002618'], dtype=object), 'count': 2}","[ENSG00000065361,ENSG00000140443]",Antibody drug with a maximum clinical trial phase of II (across all indications) and has 2 investigational indications.
CHEMBL4297785,,,Antibody,False,VIBOSTOLIMAB,,3.0,,False,False,[],"['MK-7684' 'MK7684' 'Mk-7684' 'TIGIT INHIBITOR MK-7684'
 'TIGIT-TARGETING AGENT MK-7684' 'Vibostolimab']","[('USAN', array(['https://searchusan.ama-assn.org/finder/usan/search/VIBOSTOLIMAB/relevant/1/'],
      dtype=object))]",,"{'rows': array(['MONDO_0008315', 'EFO_0000756', 'EFO_0000702', 'MONDO_0001187',
       'EFO_0003060', 'EFO_0000681', 'EFO_0001642', 'EFO_1001951',
       'EFO_0008528', 'EFO_0000616'], dtype=object), 'count': 10}",[ENSG00000181847],Antibody drug with a maximum clinical trial phase of III (across all indications) and has 10 investigational indications.
