drug,content
CHEMBL1195,"CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC_|_CAJIGINSTLKQMM-UHFFFAOYSA-N_|_Small molecule_|_False_|_PROPOXYCAINE_|_1982.0_|_4.0_|_nan_|_False_|_True_|_[]_|_['Propoxycaine']_|_[('PubChem', array(['11112410'], dtype=object)), ('Wikipedia', array(['Propoxycaine'], dtype=object)), ('drugbank', array(['DB09342'], dtype=object)), ('chEBI', array(['8496'], dtype=object))]_|_['CHEMBL1769']_|_nan_|_[ENSG00000144285,ENSG00000183873,ENSG00000007314,ENSG00000136546,ENSG00000136531,ENSG00000169432,ENSG00000153253,ENSG00000168356,ENSG00000196876,ENSG00000185313]_|_Small molecule drug with a maximum clinical trial phase of IV that was first approved in 1982."
CHEMBL1231,"CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1_|_XIQVNETUBQGFHX-UHFFFAOYSA-N_|_Small molecule_|_False_|_OXYBUTYNIN_|_1975.0_|_4.0_|_nan_|_False_|_True_|_['Anturol' 'Contimin 2.5' 'Contimin 5' 'Cystrin' 'Ditropan' 'Ditropan xl'
 'Kentera' 'Kentera (previously oxybutynin nicobrand)' 'Lyrinel xl'
 'Oxybutynin' 'Oxytrol' 'Oxytrol for women' 'Promictuline' 'Urimin']_|_['Ditropan' 'Oxybutynin']_|_[('DailyMed', array(['oxybutynin'], dtype=object)), ('EMA', array(['https://www.ema.europa.eu/en/medicines/human/EPAR/kentera-previously-oxybutynin-nicobrand'],
      dtype=object)), ('PubChem', array(['174006905', '50105262', '90341037'], dtype=object)), ('Wikipedia', array(['Oxybutynin'], dtype=object)), ('drugbank', array(['DB01062'], dtype=object)), ('chEBI', array(['7856'], dtype=object))]_|_['CHEMBL1133']_|_{'rows': array(['EFO_0006865', 'EFO_1000781', 'HP_0000103', 'MONDO_0024290',
       'EFO_0006865', 'EFO_0003956', 'EFO_0003918', 'HP_0000975',
       'EFO_0000512', 'HP_0002307', 'EFO_0009562', 'HP_0000020',
       'EFO_0001663', 'HP_0000011', 'HP_0000020', 'EFO_1000781',
       'EFO_0003877'], dtype=object), 'count': 17}_|_[ENSG00000133019,ENSG00000181072]_|_Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1975 and has 4 approved and 11 investigational indications."
CHEMBL1637,"Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1_|_OKKDEIYWILRZIA-OSZBKLCCSA-N_|_Small molecule_|_False_|_GEMCITABINE HYDROCHLORIDE_|_1996.0_|_4.0_|_CHEMBL888_|_False_|_True_|_['Gemcitabine hydrochloride' 'Gemzar' 'Infugem']_|_['Gemcitabine (as hydrochloride)' 'Gemcitabine hcl'
 'Gemcitabine hydrochloride' 'Gemzar' 'LY-188011'
 'LY-188011 HYDROCHLORIDE' 'LY188011 HYDROCHLORIDE']_|_[('DailyMed', array(['gemcitabine%20hydrochloride'], dtype=object)), ('PubChem', array(['144206197', '170465129'], dtype=object)), ('chEBI', array(['31647'], dtype=object))]_|_nan_|_{'rows': array(['MONDO_0008170', 'MONDO_0008627', 'EFO_0006859', 'EFO_0000183',
       'Orphanet_145', 'EFO_0000574', 'EFO_0006475', 'EFO_0000681',
       'EFO_1000613', 'MONDO_0005184', 'EFO_0008528', 'EFO_0000616',
       'EFO_1000359', 'EFO_1000043', 'EFO_0000313', 'EFO_0001075',
       'EFO_0000096', 'EFO_0000565', 'MONDO_0011962', 'EFO_0000691',
       'MONDO_0002087', 'EFO_1000251', 'EFO_1001961', 'EFO_0007532',
       'MONDO_0004192', 'MONDO_0016537', 'EFO_0006861', 'EFO_0006738',
       'EFO_0000588', 'MONDO_0002158', 'MONDO_0015760', 'MONDO_0001056',
       'EFO_0000305', 'MONDO_0005411', 'EFO_0005537', 'MONDO_0004986',
       'EFO_1001951', 'MONDO_0007254', 'MONDO_0002974', 'MONDO_0002367',
       'MONDO_0004992', 'EFO_0001416', 'HP_0001907', 'EFO_0000466',
       'EFO_0004252', 'EFO_1001469', 'EFO_1001051', 'EFO_1001959',
       'MONDO_0008315', 'EFO_0001378', 'EFO_0003060', 'MONDO_0008903',
       'MONDO_0001187', 'EFO_0002618', 'MONDO_0002691'], dtype=object), 'count': 55}_|_[ENSG00000101868,ENSG00000175482,ENSG00000077514,ENSG00000062822,ENSG00000106628,ENSG00000177084,ENSG00000014138,ENSG00000198056,ENSG00000146143,ENSG00000100479,ENSG00000148229,ENSG00000167325,ENSG00000048392,ENSG00000171848]_|_Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1996 and has 7 approved and 48 investigational indications."
CHEMBL1743017,"nan_|_nan_|_Antibody_|_False_|_FEZAKINUMAB_|_nan_|_2.0_|_nan_|_False_|_False_|_[]_|_['Fezakinumab' 'ILV-094']_|_nan_|_nan_|_{'rows': array(['EFO_0000676', 'EFO_0000274', 'EFO_0000685'], dtype=object), 'count': 3}_|_[ENSG00000127318]_|_Antibody drug with a maximum clinical trial phase of II (across all indications) and has 3 investigational indications."
CHEMBL2104927,"CN(CCc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C(=O)[C@H](c1ccccc1)N1CCN(CC2CC2)CC1_|_HUTHJVYJUPXHDF-DEOSSOPVSA-N_|_Small molecule_|_False_|_FIGOPITANT_|_nan_|_2.0_|_nan_|_False_|_False_|_[]_|_['BIIF 1149 BS' 'BIIF 1149 CL' 'BIIF-1149 BS' 'BIIF-1149-BS' 'Biif 1149'
 'Figopitant']_|_[('drugbank', array(['DB12122'], dtype=object))]_|_['CHEMBL3542235']_|_nan_|_[ENSG00000115353]_|_Small molecule drug with a maximum clinical trial phase of II."
CHEMBL2105675,"CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C(O)c1ccc2nc(-c3cc(Cl)cc(Cl)c3)oc2c1_|_DQJDBUPLRMRBAB-WZTVWXICSA-N_|_Small molecule_|_False_|_TAFAMIDIS MEGLUMINE_|_2011.0_|_4.0_|_CHEMBL2103837_|_False_|_True_|_['Vyndaqel']_|_['FX-1006A' 'Tafamidis meglumine']_|_[('DailyMed', array(['tafamidis%20meglumine'], dtype=object)), ('EMA', array(['https://www.ema.europa.eu/en/medicines/human/EPAR/vyndaqel'],
      dtype=object)), ('chEBI', array(['79345'], dtype=object))]_|_nan_|_{'rows': array(['EFO_1001875', 'EFO_0009562', 'EFO_0000318', 'MONDO_0019438',
       'EFO_0004129'], dtype=object), 'count': 5}_|_[ENSG00000118271]_|_Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2011 and has 3 approved and 2 investigational indications."
CHEMBL2107826,"O=C(Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1)[C@@H]1CCc2nccc(=O)n21_|_DJXRIQMCROIRCZ-XOEOCAAJSA-N_|_Small molecule_|_False_|_VIBEGRON_|_2018.0_|_4.0_|_nan_|_False_|_True_|_['Gemtesa']_|_['KRP-114V' 'Mk4618' 'Vibegron']_|_[('drugbank', array(['DB14895'], dtype=object))]_|_nan_|_{'rows': array(['EFO_0006865', 'HP_0000020', 'EFO_0000555', 'EFO_0000537',
       'EFO_1000781'], dtype=object), 'count': 5}_|_[ENSG00000188778]_|_Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2018 and has 3 approved and 2 investigational indications."
CHEMBL2109177,nan_|_nan_|_Antibody_|_False_|_ODULIMOMAB_|_nan_|_3.0_|_nan_|_False_|_False_|_[]_|_['Afolimomab' 'Odulimomab' 'anti-LFA1']_|_nan_|_nan_|_nan_|_[ENSG00000005844]_|_Antibody drug with a maximum clinical trial phase of III.
CHEMBL2346976,"CC(=O)N1CCN(CCOc2ccc(C3CCN(C4=Nn5c(nnc5C(F)(F)F)CC4)CC3)cc2)CC1_|_JMEYDSHPKCSIJC-UHFFFAOYSA-N_|_Small molecule_|_False_|_AZD3514_|_nan_|_1.0_|_nan_|_False_|_False_|_[]_|_['AZD-3514' 'Azd 3514' 'Azd3514' 'CS-1443']_|_nan_|_nan_|_{'rows': array(['MONDO_0008315'], dtype=object), 'count': 1}_|_[ENSG00000169083]_|_Small molecule drug with a maximum clinical trial phase of I and has 1 investigational indication."
CHEMBL3545096,"COc1ccc(-c2ccc3ncc4c(c3c2)n(-c2ccc(N3CCNCC3)c(C(F)(F)F)c2)c(=O)n4C)cn1.O=C(O)/C=C\C(=O)O_|_YUXMAKUNSXIEKN-BTJKTKAUSA-N_|_Small molecule_|_False_|_BGT-226_|_nan_|_2.0_|_CHEMBL3218578_|_False_|_False_|_[]_|_['BGT226' 'Bgt-226' 'NVP-BGT-226' 'NVP-BGT226']_|_[('chEBI', array(['71953'], dtype=object))]_|_nan_|_{'rows': array(['MONDO_0016063', 'MONDO_0004992', 'MONDO_0007254'], dtype=object), 'count': 3}_|_[ENSG00000198793,ENSG00000145675,ENSG00000051382,ENSG00000105851,ENSG00000121879,ENSG00000105647,ENSG00000171608,ENSG00000141506,ENSG00000117461]_|_Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 3 investigational indications."
