target,value
ENSG00000000938,"{'CHEMBL1980297': (18, 'nd'), 'CHEMBL52885': (19, 'nd'), 'CHEMBL3545085': (12, 'nd'), 'CHEMBL1421': (15, 5.876), 'CHEMBL403989': (16, 'nd')}"
ENSG00000001626,"{'CHEMBL4298128': (1, 'nd'), 'CHEMBL4297849': (1, 'nd'), 'CHEMBL2103870': (1, 1.909), 'CHEMBL2108184': (2, 'nd'), 'CHEMBL4650318': (1, 'nd'), 'CHEMBL4297649': (1, 'nd'), 'CHEMBL4802150': (1, 'nd'), 'CHEMBL3544914': (1, 'nd'), 'CHEMBL4101487': (1, 'nd'), 'CHEMBL2010601': (1, 9.489), 'CHEMBL4297392': (1, 'nd')}"
ENSG00000002549,"{'CHEMBL2103847': (19, 0.006)}"
ENSG00000002726,"{'CHEMBL2105233': (2, 'nd')}"
ENSG00000003400,"{'CHEMBL197672': (12, 'nd')}"
ENSG00000003436,"{'CHEMBL4297730': (1, 'nd'), 'CHEMBL3301583': (1, 0.048), 'CHEMBL3990039': (1, 'nd'), 'CHEMBL4297904': (1, 'nd')}"
ENSG00000004468,"{'CHEMBL3545131': (1, 0.059), 'CHEMBL4594579': (1, 'nd'), 'CHEMBL2109468': (1, 'nd'), 'CHEMBL4297833': (1, 'nd'), 'CHEMBL1743007': (1, 2.299)}"
ENSG00000004487,"{'CHEMBL4297289': (1, 'nd')}"
ENSG00000004779,"{'CHEMBL1431': (51, 13.833), 'CHEMBL1703': (51, 56.478), 'CHEMBL3545135': (50, 'nd'), 'CHEMBL5314386': (50, 'nd')}"
ENSG00000004799,"{'CHEMBL306823': (4, 'nd')}"
ENSG00000004948,"{'CHEMBL3545415': (1, 'nd'), 'CHEMBL4594242': (1, 0.295), 'CHEMBL2103758': (4, 'nd'), 'CHEMBL4594248': (1, 'nd'), 'CHEMBL2105635': (3, 'nd'), 'CHEMBL3833353': (4, 0.113), 'CHEMBL3989767': (1, 0.105)}"
ENSG00000005339,"{'CHEMBL4297813': (2, 'nd')}"
ENSG00000005381,"{'CHEMBL4297594': (1, 'nd')}"
ENSG00000005844,"{'CHEMBL2109177': (1, 'nd'), 'CHEMBL2109224': (3, 'nd'), 'CHEMBL2048028': (2, 0.012), 'CHEMBL1201575': (2, 0.269)}"
ENSG00000005882,"{'CHEMBL306823': (4, 'nd')}"
ENSG00000005961,"{'CHEMBL1743076': (2, 'nd'), 'CHEMBL1174': (2, 0.26), 'CHEMBL916': (2, 0.196), 'CHEMBL1201584': (3, 0.082), 'CHEMBL3189072': (2, 0.009), 'CHEMBL3114577': (2, 'nd')}"
ENSG00000006071,"{'CHEMBL782': (2, 2.552), 'CHEMBL2104449': (4, 'nd'), 'CHEMBL472': (2, 1.007), 'CHEMBL498': (2, 0.174), 'CHEMBL1589': (2, 'nd'), 'CHEMBL1073': (2, 0.886), 'CHEMBL817': (2, 'nd'), 'CHEMBL1272': (2, 0.322), 'CHEMBL427216': (2, 0.202), 'CHEMBL4298005': (2, 1.517), 'CHEMBL1200874': (2, 'nd'), 'CHEMBL471498': (2, 0.389), 'CHEMBL2105160': (4, 'nd'), 'CHEMBL1481': (2, 0.528), 'CHEMBL783': (2, 0.045)}"
ENSG00000006116,"{'CHEMBL940': (26, 0.421), 'CHEMBL539770': (31, 'nd'), 'CHEMBL473159': (26, 0.001), 'CHEMBL404849': (26, 'nd'), 'CHEMBL593430': (26, 'nd'), 'CHEMBL2103836': (26, 'nd'), 'CHEMBL1059': (26, 10.2), 'CHEMBL1628502': (26, 0.004), 'CHEMBL1200382': (26, 1.534), 'CHEMBL1008': (26, 0.258), 'CHEMBL363295': (31, 'nd')}"
ENSG00000006210,"{'CHEMBL4297942': (1, 'nd')}"
